Printing Modifier Definitions:
Tag: build_cost, Categories: country
Tag: liburnian_riverine_terrain_combat_bonus, Categories: country
Tag: trireme_riverine_terrain_combat_bonus, Categories: country
Tag: tetrere_riverine_terrain_combat_bonus, Categories: country
Tag: hexere_riverine_terrain_combat_bonus, Categories: country
Tag: octere_riverine_terrain_combat_bonus, Categories: country
Tag: mega_galley_riverine_terrain_combat_bonus, Categories: country
Tag: monthly_civic_party_conviction, Categories: character
Tag: civic_party_influence, Categories: country
Tag: monthly_military_party_conviction, Categories: character
Tag: military_party_influence, Categories: country
Tag: monthly_mercantile_party_conviction, Categories: character
Tag: mercantile_party_influence, Categories: country
Tag: monthly_religious_party_conviction, Categories: character
Tag: religious_party_influence, Categories: country
Tag: monthly_populist_party_conviction, Categories: character
Tag: populist_party_influence, Categories: country
Tag: military_tech_investment, Categories: country
Tag: monthly_military_tech_loyalty, Categories: country
Tag: civic_tech_investment, Categories: country
Tag: monthly_civic_tech_loyalty, Categories: country
Tag: oratory_tech_investment, Categories: country
Tag: monthly_oratory_tech_loyalty, Categories: country
Tag: religious_tech_investment, Categories: country
Tag: monthly_religious_tech_loyalty, Categories: country
Tag: military_building_cost, Categories: country
Tag: fortress_building_cost, Categories: country
Tag: barracks_building_cost, Categories: country
Tag: foundry_building_cost, Categories: country
Tag: commerce_building_cost, Categories: country
Tag: town_hall_building_cost, Categories: country
Tag: court_building_cost, Categories: country
Tag: academy_building_cost, Categories: country
Tag: population_building_cost, Categories: country
Tag: library_building_cost, Categories: country
Tag: forum_building_cost, Categories: country
Tag: workshop_building_cost, Categories: country
Tag: temple_building_cost, Categories: country
Tag: theathre_building_cost, Categories: country
Tag: aqueduct_building_cost, Categories: country
Tag: latifundia_building_cost, Categories: country
Tag: slave_mine_building_cost, Categories: country
Tag: basic_settlement_infratructure_building_cost, Categories: country
Tag: hill_fort_cost, Categories: country
Tag: local_forum_building_cost, Categories: country
Tag: monthly_office_foreign_minister_loyalty, Categories: country
Tag: monthly_office_royal_tutor_loyalty, Categories: country
Tag: monthly_office_marshal_loyalty, Categories: country
Tag: monthly_office_master_of_the_guard_loyalty, Categories: country
Tag: monthly_office_high_priest_monarchy_loyalty, Categories: country
Tag: monthly_office_philosopher_loyalty, Categories: country
Tag: monthly_office_steward_loyalty, Categories: country
Tag: monthly_office_physician_loyalty, Categories: country
Tag: monthly_office_censor_loyalty, Categories: country
Tag: monthly_office_praetor_loyalty, Categories: country
Tag: monthly_office_tribune_of_the_soldiers_loyalty, Categories: country
Tag: monthly_office_tribune_of_the_treasury_loyalty, Categories: country
Tag: monthly_office_augur_loyalty, Categories: country
Tag: monthly_office_pontifex_loyalty, Categories: country
Tag: monthly_office_plebeian_aedile_loyalty, Categories: country
Tag: monthly_office_republic_physician_loyalty, Categories: country
Tag: monthly_office_arbitrator_loyalty, Categories: country
Tag: monthly_office_elder_loyalty, Categories: country
Tag: monthly_office_warchief_loyalty, Categories: country
Tag: monthly_office_bodyguard_loyalty, Categories: country
Tag: monthly_office_high_priest_loyalty, Categories: country
Tag: monthly_office_wise_person_loyalty, Categories: country
Tag: monthly_office_magistrate_loyalty, Categories: country
Tag: monthly_office_apothecary_loyalty, Categories: country
